City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,mehamn,71.0357,27.8492,-4.05,77,100,13.43,NO,1675637911
84,acari,-15.4311,-74.6158,24.62,80,94,2.31,PE,1675637911
85,sibolga,1.7427,98.7792,22.66,92,100,0.54,ID,1675637673
86,avarua,-21.2078,-159.775,28.03,83,75,5.66,CK,1675637912
87,cidreira,-30.1811,-50.2056,23.78,76,64,4.39,BR,1675637912
88,ballina,-28.8667,153.5667,26.12,76,53,2.69,AU,1675637912
89,upernavik,72.7868,-56.1549,-25.05,95,100,2.75,GL,1675637912
90,molokovo,58.1661,36.7628,-18.61,100,100,1.21,RU,1675637913
91,harrismith,-28.2728,29.1295,12.49,93,18,1.8,ZA,1675637913
92,maroantsetra,-15.4333,49.7333,24.41,88,99,0.54,MG,1675637913
93,isangel,-19.55,169.2667,30.2,65,99,2.47,VU,1675637805
94,sorland,67.667,12.6934,4.92,71,100,11.39,NO,1675637914
95,arraial do cabo,-22.9661,-42.0278,27.92,78,75,2.57,BR,1675637914
96,kapaa,22.0752,-159.319,26.99,81,75,5.66,US,1675637914
97,bykivka,50.2929,27.9831,-5.62,94,99,4.82,UA,1675637915
98,daru,-9.0763,143.2092,24.78,94,100,2.21,PG,1675637915
99,bredasdorp,-34.5322,20.0403,20.9,85,100,4.07,ZA,1675637915
100,butaritari,3.0707,172.7902,26.7,84,100,8.03,KI,1675637916
101,saint george,37.1041,-113.5841,16.33,47,0,6.69,US,1675637916
102,hobart,-42.8794,147.3294,19.92,59,40,6.69,AU,1675637824
103,new norfolk,-42.7826,147.0587,19.72,61,99,2.24,AU,1675637917
104,harper,4.375,-7.7169,26.66,84,63,4.02,LR,1675637917
105,angoche,-16.2325,39.9086,24.97,88,83,2.92,MZ,1675637687
106,saldanha,-33.0117,17.9442,18.03,93,17,7.05,ZA,1675637917
107,redlands,34.0556,-117.1825,18.22,55,40,0.0,US,1675637865
108,shingu,33.7333,135.9833,5.61,58,67,2.11,JP,1675637918
109,zhob,31.3411,69.4481,8.67,60,5,1.29,PK,1675637918
110,fairbanks,64.8378,-147.7164,-11.06,80,0,3.09,US,1675637858
111,nikolskoye,59.7035,30.7861,-4.06,93,100,3.56,RU,1675637626
112,nalut,30.3333,10.85,8.48,64,74,4.07,LY,1675637918
113,severo-kurilsk,50.6789,156.125,-3.22,78,98,3.33,RU,1675637919
114,kargasok,59.0556,80.8572,-19.99,100,99,1.33,RU,1675637919
115,fomboni,-12.28,43.7425,28.02,74,100,1.96,KM,1675637919
116,anadyr,64.75,177.4833,-30.56,74,75,6.0,RU,1675637838
117,atasu,48.6814,71.6433,-6.03,97,100,2.43,KZ,1675637920
118,colquechaca,-18.6667,-66.0167,0.17,82,87,2.64,BO,1675637920
119,athabasca,54.7169,-113.2854,2.23,89,99,1.79,CA,1675637759
120,plettenberg bay,-34.0527,23.3716,21.65,91,100,1.32,ZA,1675637921
121,vung tau,10.346,107.0843,24.23,83,13,7.04,VN,1675637921
122,colares,38.7992,-9.4469,13.83,51,3,4.02,PT,1675637921
123,mahebourg,-20.4081,57.7,26.16,83,40,2.57,MU,1675637921
124,aksarka,66.5606,67.7975,-26.47,100,65,0.49,RU,1675637922
125,kars,40.602,43.095,-7.12,96,100,0.63,TR,1675637922
126,hay river,60.8156,-115.7999,-16.01,78,100,5.14,CA,1675637922
127,salalah,17.0151,54.0924,21.06,65,99,0.95,OM,1675637817
128,susanville,40.4163,-120.653,5.91,69,40,3.58,US,1675637844
129,barrow,71.2906,-156.7887,-26.99,76,75,1.54,US,1675637923
130,avera,33.194,-82.5271,15.73,77,46,1.95,US,1675637923
131,severiano melo,-5.7772,-37.9578,25.82,78,78,4.01,BR,1675637923
132,thompson,55.7435,-97.8558,-13.91,78,100,1.54,CA,1675637924
133,safford,32.834,-109.7076,23.51,14,0,0.0,US,1675637730
134,mangai,-4.05,19.5333,20.29,98,88,0.98,CD,1675637924
135,prince rupert,54.3161,-130.3201,5.05,81,40,10.29,CA,1675637925
136,bafq,31.6128,55.4107,9.0,29,24,1.22,IR,1675637925
137,lebu,-37.6167,-73.65,16.96,87,1,8.66,CL,1675637925
138,haines junction,60.7522,-137.5108,-10.03,85,100,0.51,CA,1675637926
